source,target,index,start_x,start_y,start_z,rotate,rotation_plane,rotation_degree_idx,coverage,compartment
example_data_LR.h5,example_data_HR.h5,0,26,14,1,0,0,0,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,1,1,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,1,2,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,1,3,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,2,1,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,2,2,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,2,3,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,3,1,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,3,2,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,26,14,1,1,3,3,0.0,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,0,0,0,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,1,1,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,1,2,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,1,3,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,2,1,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,2,2,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,2,3,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,3,1,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,3,2,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,10,12,1,3,3,0.126,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,0,0,0,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,1,1,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,1,2,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,1,3,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,2,1,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,2,2,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,2,3,0.144,cerebro
